帝国ECMS 漏洞分析

[ECMS-V6.0数据库表结构参考 全文]表名 解释 
phome_ecms_infoclass_news 新闻采集规则记录表 
phome_ecms_infotmp_news 采集临时表 
phome_ecms_news 新闻主数据记录表 
phome_ecms_news_data_1 新闻副表1 
phome_ecms_news_doc 新闻归档数据主表 
phome_ecms_news_doc_data 新闻归档数据副表 
phome_enewsad 广告数据表 
phome_enewsadclass 广告分类表 
phome_enewsadminstyle 后台风格 
phome_enewsbefrom 信息来源数据表 
phome_enewsbq 标签数据表 
phome_enewsbqclass 标签分类表 
phome_enewsbqtemp 标签模板表 
phome_enewsbqtempclass 标签模板分类 
phome_enewsbuybak 会员卡充值记录数据表 
phome_enewsbuygroup 增加充值类型数据记录表 
phome_enewscard 点卡记录数据表 
phome_enewschecktext 签发评语数据记录表 
phome_enewsclass 栏目分类主表 
phome_enewsclassadd 栏目分类副表 
phome_enewsclasstemp 例表模板 
phome_enewsclasstempclass 例表模板分类 
phome_enewsdiggips 顶数据记录表 
phome_enewsdo 自动刷新记录表 
phome_enewsdolog 管理员操作记录表 
phome_enewsdownerror 下载报错记录表 
phome_enewsdownrecord 扣点下载记录数据表 
phome_enewsdownurlqz 下载地址前缀记录表 
phome_enewserrorclass 管理员错误报告记录表{都不知道在后台哪里} 
phome_enewsf 字段记录表 
phome_enewsfava 会员收藏数据记录表 
phome_enewsfavaclass 会员收藏夹分类记录表 
phome_enewsfeedback 反馈数据记录表 
phome_enewsfeedbackclass 反馈分类数据记录表 
phome_enewsfeedbackf 反馈字段数据记录表 
phome_enewsfile 附件管理数据记录表 位置：栏目管理->附件管理 
phome_enewsgbook 留言数据 
phome_enewsgbookclass 留言分类 
phome_enewsgfenip 封IP？ 
phome_enewsgroup 管理员用户组数据记录表 
phome_enewshy 会员好友存放表 
phome_enewshyclass 会员好友分类表 
phome_enewsinfoclass 采集正则数据表 
phome_enewsinfotype 标题分类数据记录表 
phome_enewsinfovote 内容投票数据记录表 
phome_enewsjstemp JS模板数据记录表 
phome_enewsjstempclass JS模板分类数据记录表 
phome_enewskey 内容关键字数据记录表 
phome_enewslink 友情链接记录表 
phome_enewslinkclass OMG黄花菜都凉了.. 
phome_enewslinktmp 采集的url临时表 
phome_enewslisttemp 列表模板记录表 
phome_enewslisttempclass 列表模板分类记录表 
phome_enewslog 管理员登陆日志 
phome_enewsloginfail 管理员登陆失败记录表 
phome_enewsmember 会员数据记录主表 
phome_enewsmemberadd 会员增加字段的会员数据数据记录表 
phome_enewsmemberf 会员字段数据记录表 
phome_enewsmemberfeedback 会员空间反馈数据记录表 e/space/feedback.php?userid=1 
phome_enewsmemberform 会员注册表单数据记录表 
phome_enewsmembergbook 会员空间留言板数据记录表 
phome_enewsmembergroup 会员组数据记录表 
phome_enewsmod 模型数据记录表 
phome_enewsnewstemp 内容模板数据记录表 
phome_enewsnewstempclass 内容模板分类数据记录表 
phome_enewsnotcj 防采集字符记录表 
phome_enewspage 自定义页面记录表 
phome_enewspageclass 自定义页面分类记录表 
phome_enewspayapi 支付接口记录表 
phome_enewspayrecord 支付记录记录表 
phome_enewspic 图片信息记录表 位置：后台-其他管理》管理图片信息 > 管理图片信息 
phome_enewspicclass 图片信息分类记录表 位置：后台-其他管理》管理图片信息 > 管理图片信息分类 
phome_enewspl 评论数据记录主表 
phome_enewsplayer 播放器记录表 
phome_enewsplf 评论自定义字段表 
phome_enewspltemp 评论模板记录表 
phome_enewspl_data_1 评论记录副表1 
phome_enewspostdata 远程发布临时表 
phome_enewspublic 网站设置数据记录表 
phome_enewspubtemp 公共模板数据记录表 
phome_enewsqf 签发数据记录表 
phome_enewsqmsg 站内信息记录表 
phome_enewssearch 搜索关键字记录表 栏目管理-》管理搜索关键字 
phome_enewssearchall 全站搜索数据记录表 
phome_enewssearchall_load 搜索数据源 > 增加搜索数据源 
phome_enewssearchtemp 搜索模板记录表 
phome_enewssearchtempclass 搜索模板分类表 
phome_enewsshopdd 商城系统订单记录表 
phome_enewsshoppayfs 支付方式记录表 
phome_enewsshopps 配送方式记录表 
phome_enewsspacestyle 会员空间风格记录表 
phome_enewssql SQL语句记录表 
phome_enewstable 数据表记录表 
phome_enewstask 计划任务数据表 
phome_enewstempgroup 模板组记录表 
phome_enewstempvar 模板变量记录表 
phome_enewstempvarclass 模板变量分类记录表 
phome_enewstogzts 组合专题参数保存表 
phome_enewsuser 管理员记录表 
phome_enewsuserjs 自定义JS数据记录表 
phome_enewsuserlist 自定义列表 
phome_enewsvote 管理投票 > 增加投票 
phome_enewsvotemod 模型预设投票 
phome_enewsvotetemp 投票模板数据表 
phome_enewswapstyle WAP模板数据表 
phome_enewswords 过滤字符数据记录表 
phome_enewswriter 作者表 
phome_enewszt 专题数据表 
phome_enewsztclass 专题分类表 
