100000=portmapper,portmap sunrpc rpcbind
100001=rstatd,rstat rup perfmeter rstat_svc
100002=rusersd,rusers
100003=nfs,nfsprog
100004=ypserv,ypprog
100005=mountd,mount showmount
100007=ypbind,bind
100008=walld,rwall shutdown
100009=yppasswdd,yppasswd
100010=etherstatd,etherstat
100011=rquotad,rquotaprog quota rquota
100012=sprayd,spray
100013=3270_mapper,3270_mapper
100014=rje_mapper,rje_mapper
100015=selection_svc,selnsvc
100016=database_svc,database_svc
100017=rexd,rex
100018=alis,alis
100019=sched,sched
100020=llockmgr,llockmgr
100021=nlockmgr,nlockmgr
100022=x25.inr,x25.inr
100023=statmon,statmon
100024=statd,status,status
100026=bootparam,bootparam
100028=ypupdated,ypupdate
100029=keyserv,keyserver
100033=sunlink_mapper,sunlink_mapper
100037=tfsd,tfsd
100038=nsed,nsed
100039=nsemntd,nsemntd
100043=showfhd,showfh
100055=ioadmd,rpc.ioadmd
100062=NETlicense,NETlicense
100065=sunisamd,sunisamd
100066=debug_svc,dbsrv
100068=cmsd,cmsd
100069=ypxfrd,rpc.ypxfrd
100071=bugtraqd,bugtraqd
100078=kerbd,kerbd
100083=ttdbserverd,ttdbserverd
100101=event,na.event
100102=logger,na.logger
100104=sync,na.sync
100107=hostperf,na.hostperf
100109=activity,na.activity
100112=hostmem,na.hostmem
100113=sample,na.sample
100114=x25,na.x25
100115=ping,na.ping
100116=rpcnfs,na.rpcnfs
100117=hostif,na.hostif
100118=etherif,na.etherif
100120=iproutes,na.iproutes
100121=layers,na.layers
100122=snmp,na.snmp snmp-cmc snmp-synoptics snmp-unisys snmp-utk
100123=traffic,na.traffic
100227=nfs_acl,nfs_acl
100232=sadmind,sadmind
100235=cachefsd,solaris cachefsd
100249=snmpXdmid
100300=nisd,rpc.nisd
100303=nispasswd,rpc.nispasswdd
100233=ufsd,ufsd
150001=pcnfsd,pcnfs
300019=amd,amq
391016=xfsmd
391002=fam,fam
391029=espd
545580417=bwnfsd,bwnfsd
600100069=fypxfrd,freebsd-ypxfrd
